#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
3716                 -         SSU_rRNA_archaea     RF01959    cm      850      970      123        1      - 5'&3'    4 0.47   0.0   61.8   4.1e-15 !   [C32267; 123bp]
2131                 -         SSU_rRNA_archaea     RF01959    cm     1217     1338      123        1      - 5'&3'    4 0.46   0.0   61.7   4.2e-15 !   [C29081; 123bp]
721                  -         SSU_rRNA_archaea     RF01959    cm     1256     1378        1      123      + 5'&3'    4 0.48   0.0   61.7   4.3e-15 !   [C33109; 123bp]
1800                 -         SSU_rRNA_archaea     RF01959    cm      830      912       83        1      -    3'    4 0.52   0.0   59.3   2.3e-14 !   [C30377; 123bp]
1846                 -         SSU_rRNA_archaea     RF01959    cm      229      350      123        1      - 5'&3'    4 0.54   0.0   59.0   2.8e-14 !   [C28121; 123bp]
959                  -         SSU_rRNA_archaea     RF01959    cm      888     1008        1      123      + 5'&3'    4 0.48   0.0   58.9   3.1e-14 !   [C28367; 123bp]
2082                 -         SSU_rRNA_archaea     RF01959    cm      852      972        1      123      + 5'&3'    4 0.47   0.0   58.5     4e-14 !   [C30375; 123bp]
1326                 -         SSU_rRNA_archaea     RF01959    cm     1219     1340      123        1      - 5'&3'    4 0.46   0.0   58.4   4.2e-14 !   [C31015; 123bp]
3700                 -         SSU_rRNA_archaea     RF01959    cm      856      976        1      123      + 5'&3'    4 0.49   0.0   58.0   5.4e-14 !   [C32505; 123bp]
2677                 -         SSU_rRNA_archaea     RF01959    cm     1220     1341      123        1      - 5'&3'    4 0.45   0.0   57.9   5.9e-14 !   [C30647; 123bp]
3024                 -         SSU_rRNA_archaea     RF01959    cm     1253     1375        1      123      + 5'&3'    4 0.46   0.0   57.8   6.2e-14 !   [C29567; 123bp]
3918                 -         SSU_rRNA_archaea     RF01959    cm      855      975      123        1      - 5'&3'    4 0.48   0.0   56.5   1.5e-13 !   [C27203; 123bp]
3629                 -         SSU_rRNA_archaea     RF01959    cm      874      994      123        1      - 5'&3'    4 0.52   0.0   56.3   1.8e-13 !   [C30887; 123bp]
3210                 -         SSU_rRNA_archaea     RF01959    cm     1255     1377      123        1      - 5'&3'    4 0.47   0.0   55.5   3.1e-13 !   [C29277; 123bp]
2839                 -         SSU_rRNA_archaea     RF01959    cm      830      907       78        1      -    3'    4 0.55   0.0   55.5   3.1e-13 !   [C27785; 123bp]
1039                 -         SSU_rRNA_archaea     RF01959    cm      234      355      123        1      - 5'&3'    4 0.55   0.0   55.1   4.1e-13 !   [C28103; 123bp]
2057                 -         SSU_rRNA_archaea     RF01959    cm      862      982      123        1      - 5'&3'    4 0.50   0.0   54.9   4.6e-13 !   [C30395; 123bp]
2993                 -         SSU_rRNA_archaea     RF01959    cm      892     1012      123        1      - 5'&3'    4 0.49   0.0   53.9   9.2e-13 !   [C31523; 123bp]
2835                 -         SSU_rRNA_archaea     RF01959    cm      848      968      123        1      - 5'&3'    4 0.49   0.0   53.8   9.6e-13 !   [C32565; 123bp]
931                  -         SSU_rRNA_archaea     RF01959    cm      871      991        1      123      + 5'&3'    4 0.51   0.0   53.6   1.2e-12 !   [C32927; 123bp]
788                  -         SSU_rRNA_archaea     RF01959    cm      864      984        1      123      + 5'&3'    4 0.50   0.0   53.1   1.6e-12 !   [C32057; 123bp]
2194                 -         SSU_rRNA_archaea     RF01959    cm     1214     1334      123        2      -    5'    4 0.47   0.0   53.0   1.7e-12 !   [C28427; 123bp]
2741                 -         SSU_rRNA_archaea     RF01959    cm      657      779      123        1      - 5'&3'    4 0.44   0.0   52.9   1.8e-12 !   [C28125; 123bp]
2586                 -         SSU_rRNA_archaea     RF01959    cm      627      749      123        1      - 5'&3'    4 0.40   0.0   52.6   2.2e-12 !   [C27593; 123bp]
838                  -         SSU_rRNA_archaea     RF01959    cm      890     1010        1      123      + 5'&3'    4 0.50   0.0   52.0   3.5e-12 !   [C32049; 123bp]
2863                 -         SSU_rRNA_archaea     RF01959    cm      894     1014      123        1      - 5'&3'    4 0.50   0.0   51.4   5.2e-12 !   [C31641; 123bp]
3638                 -         SSU_rRNA_archaea     RF01959    cm      830      908       45      123      +    3'    4 0.52   0.0   51.4   5.3e-12 !   [C29715; 123bp]
2849                 -         SSU_rRNA_archaea     RF01959    cm     1264     1385      123        1      - 5'&3'    4 0.49   0.0   51.1   6.5e-12 !   [C29747; 123bp]
3523                 -         SSU_rRNA_archaea     RF01959    cm      869      989        1      123      + 5'&3'    4 0.50   0.0   51.1   6.5e-12 !   [C27799; 123bp]
2405                 -         SSU_rRNA_archaea     RF01959    cm      634      756        1      123      + 5'&3'    4 0.37   0.0   50.8   7.6e-12 !   [C28537; 123bp]
3233                 -         SSU_rRNA_archaea     RF01959    cm      643      765        1      123      + 5'&3'    4 0.41   0.0   50.7   8.2e-12 !   [C31901; 123bp]
3036                 -         SSU_rRNA_archaea     RF01959    cm      830      900       71        1      -    3'    4 0.56   0.0   50.6     9e-12 !   [C32851; 123bp]
1413                 -         SSU_rRNA_archaea     RF01959    cm     1265     1386        1      123      + 5'&3'    4 0.50   0.0   50.5   9.6e-12 !   [C30917; 123bp]
3774                 -         SSU_rRNA_archaea     RF01959    cm      227      347      123        1      - 5'&3'    4 0.54   0.0   50.4   1.1e-11 !   [C33263; 123bp]
2971                 -         SSU_rRNA_archaea     RF01959    cm      870      990        1      123      + 5'&3'    4 0.50   0.0   50.1   1.2e-11 !   [C28161; 123bp]
1629                 -         SSU_rRNA_archaea     RF01959    cm      614      736      123        1      - 5'&3'    4 0.37   0.0   50.0   1.3e-11 !   [C33643; 123bp]
10                   -         SSU_rRNA_eukarya     RF01960    cm       28      602   273481   272889      -    no    1 0.40   2.3  236.1     2e-68 !   [scaffold85; 277317bp]
3758                 -         SSU_rRNA_eukarya     RF01960    cm     1104     1226        1      123      + 5'&3'    4 0.51   0.0  150.8   1.9e-42 !   [C30899; 123bp]
3542                 -         SSU_rRNA_eukarya     RF01960    cm     1103     1225      123        1      - 5'&3'    4 0.52   0.0  150.1   3.1e-42 !   [C27621; 123bp]
3896                 -         SSU_rRNA_eukarya     RF01960    cm     1104     1226        1      123      + 5'&3'    4 0.51   0.0  150.0   3.4e-42 !   [C30897; 123bp]
1806                 -         SSU_rRNA_eukarya     RF01960    cm     1121     1243        1      123      + 5'&3'    4 0.54   0.0  149.8   3.8e-42 !   [C31671; 123bp]
1143                 -         SSU_rRNA_eukarya     RF01960    cm     1114     1236      123        1      - 5'&3'    4 0.54   0.0  149.8   3.8e-42 !   [C27407; 123bp]
3294                 -         SSU_rRNA_eukarya     RF01960    cm     1100     1222      123        1      - 5'&3'    4 0.50   0.0  149.7   4.1e-42 !   [C32737; 123bp]
708                  -         SSU_rRNA_eukarya     RF01960    cm     1116     1238        1      123      + 5'&3'    4 0.55   0.0  149.7   4.2e-42 !   [C31563; 123bp]
1584                 -         SSU_rRNA_eukarya     RF01960    cm     1119     1241      123        1      - 5'&3'    4 0.55   0.0  149.5   4.8e-42 !   [C29247; 123bp]
1546                 -         SSU_rRNA_eukarya     RF01960    cm     1109     1231        1      123      + 5'&3'    4 0.51   0.0  148.3   1.1e-41 !   [C30639; 123bp]
2038                 -         SSU_rRNA_eukarya     RF01960    cm     1125     1247      123        1      - 5'&3'    4 0.54   0.0  147.8   1.5e-41 !   [C28365; 123bp]
1714                 -         SSU_rRNA_eukarya     RF01960    cm     1135     1257      123        1      - 5'&3'    4 0.50   0.0  145.3   8.9e-41 !   [C27697; 123bp]
3700                 -         SSU_rRNA_eukarya     RF01960    cm     1155     1277        1      123      + 5'&3'    4 0.49   0.0  144.9   1.2e-40 !   [C32505; 123bp]
784                  -         SSU_rRNA_eukarya     RF01960    cm     1126     1248        1      123      + 5'&3'    4 0.52   0.0  144.6   1.5e-40 !   [C29885; 123bp]
666                  -         SSU_rRNA_eukarya     RF01960    cm     1127     1249        1      123      + 5'&3'    4 0.54   0.0  144.5   1.6e-40 !   [C30847; 123bp]
2650                 -         SSU_rRNA_eukarya     RF01960    cm     1149     1271      123        1      - 5'&3'    4 0.47   0.0  143.9   2.5e-40 !   [C32265; 123bp]
816                  -         SSU_rRNA_eukarya     RF01960    cm      359      481        1      123      + 5'&3'    4 0.52   0.0  143.8   2.6e-40 !   [C32423; 123bp]
2082                 -         SSU_rRNA_eukarya     RF01960    cm     1151     1273        1      123      + 5'&3'    4 0.47   0.0  143.4   3.5e-40 !   [C30375; 123bp]
3918                 -         SSU_rRNA_eukarya     RF01960    cm     1154     1276      123        1      - 5'&3'    4 0.48   0.0  143.2     4e-40 !   [C27203; 123bp]
3716                 -         SSU_rRNA_eukarya     RF01960    cm     1149     1271      123        1      - 5'&3'    4 0.47   0.0  143.1   4.4e-40 !   [C32267; 123bp]
3840                 -         SSU_rRNA_eukarya     RF01960    cm      361      483        1      123      + 5'&3'    4 0.50   0.0  143.0   4.6e-40 !   [C29597; 123bp]
3629                 -         SSU_rRNA_eukarya     RF01960    cm     1173     1295      123        1      - 5'&3'    4 0.52   0.0  143.0   4.7e-40 !   [C30887; 123bp]
2057                 -         SSU_rRNA_eukarya     RF01960    cm     1161     1283      123        1      - 5'&3'    4 0.50   0.0  142.8   5.4e-40 !   [C30395; 123bp]
2639                 -         SSU_rRNA_eukarya     RF01960    cm      362      485        1      123      + 5'&3'    4 0.51   0.0  142.6   5.8e-40 !   [C31969; 123bp]
1846                 -         SSU_rRNA_eukarya     RF01960    cm      323      445      123        1      - 5'&3'    4 0.54   0.0  142.6   5.8e-40 !   [C28121; 123bp]
788                  -         SSU_rRNA_eukarya     RF01960    cm     1163     1285        1      123      + 5'&3'    4 0.50   0.0  142.4     7e-40 !   [C32057; 123bp]
931                  -         SSU_rRNA_eukarya     RF01960    cm     1170     1292        1      123      + 5'&3'    4 0.51   0.0  142.3   7.6e-40 !   [C32927; 123bp]
2489                 -         SSU_rRNA_eukarya     RF01960    cm      356      478        1      123      + 5'&3'    4 0.52   0.0  142.2   8.2e-40 !   [C30269; 123bp]
1460                 -         SSU_rRNA_eukarya     RF01960    cm     1092     1214      123        1      - 5'&3'    4 0.51   0.0  141.9   9.8e-40 !   [C32603; 123bp]
3194                 -         SSU_rRNA_eukarya     RF01960    cm     1092     1214      123        1      - 5'&3'    4 0.52   0.0  141.7   1.2e-39 !   [C32605; 123bp]
1039                 -         SSU_rRNA_eukarya     RF01960    cm      328      450      123        1      - 5'&3'    4 0.55   0.0  141.5   1.3e-39 !   [C28103; 123bp]
916                  -         SSU_rRNA_eukarya     RF01960    cm     1164     1286      123        1      - 5'&3'    4 0.49   0.0  141.3   1.5e-39 !   [C32583; 123bp]
959                  -         SSU_rRNA_eukarya     RF01960    cm     1187     1309        1      123      + 5'&3'    4 0.48   0.0  141.0   1.9e-39 !   [C28367; 123bp]
3774                 -         SSU_rRNA_eukarya     RF01960    cm      320      442      123        1      - 5'&3'    4 0.54   0.0  140.9     2e-39 !   [C33263; 123bp]
3427                 -         SSU_rRNA_eukarya     RF01960    cm     1142     1264      123        1      - 5'&3'    4 0.50   0.0  140.9   2.1e-39 !   [C30547; 123bp]
3861                 -         SSU_rRNA_eukarya     RF01960    cm      357      479      123        1      - 5'&3'    4 0.51   0.0  140.6   2.4e-39 !   [C27609; 123bp]
2032                 -         SSU_rRNA_eukarya     RF01960    cm      348      470      123        1      - 5'&3'    4 0.52   0.0  139.8   4.2e-39 !   [C28169; 123bp]
1923                 -         SSU_rRNA_eukarya     RF01960    cm      309      431        1      123      + 5'&3'    4 0.54   0.0  139.7   4.6e-39 !   [C31469; 123bp]
2971                 -         SSU_rRNA_eukarya     RF01960    cm     1169     1291        1      123      + 5'&3'    4 0.50   0.0  139.7   4.7e-39 !   [C28161; 123bp]
774                  -         SSU_rRNA_eukarya     RF01960    cm     1167     1289      123        1      - 5'&3'    4 0.51   0.0  139.6     5e-39 !   [C32261; 123bp]
3523                 -         SSU_rRNA_eukarya     RF01960    cm     1168     1290        1      123      + 5'&3'    4 0.50   0.0  139.2   6.7e-39 !   [C27799; 123bp]
3500                 -         SSU_rRNA_eukarya     RF01960    cm     1200     1322      123        1      - 5'&3'    4 0.45   0.0  138.9   7.9e-39 !   [C27355; 123bp]
3060                 -         SSU_rRNA_eukarya     RF01960    cm      316      438        1      123      + 5'&3'    4 0.54   0.0  138.7     9e-39 !   [C32333; 123bp]
1459                 -         SSU_rRNA_eukarya     RF01960    cm      330      452      123        1      - 5'&3'    4 0.55   0.0  138.7   9.6e-39 !   [C32655; 123bp]
2993                 -         SSU_rRNA_eukarya     RF01960    cm     1191     1313      123        1      - 5'&3'    4 0.49   0.0  138.5     1e-38 !   [C31523; 123bp]
2022                 -         SSU_rRNA_eukarya     RF01960    cm      318      440        1      123      + 5'&3'    4 0.56   0.0  137.6     2e-38 !   [C32683; 123bp]
1800                 -         SSU_rRNA_eukarya     RF01960    cm     1089     1211      123        1      - 5'&3'    4 0.50   0.0  137.6   2.1e-38 !   [C30377; 123bp]
923                  -         SSU_rRNA_eukarya     RF01960    cm     1223     1345        1      123      + 5'&3'    4 0.44   0.0  137.5   2.2e-38 !   [C30393; 123bp]
1304                 -         SSU_rRNA_eukarya     RF01960    cm     1228     1350        1      123      + 5'&3'    4 0.46   0.0  137.4   2.2e-38 !   [C30633; 123bp]
3119                 -         SSU_rRNA_eukarya     RF01960    cm      516      638        1      123      + 5'&3'    4 0.42   0.0  137.4   2.3e-38 !   [C29955; 123bp]
2305                 -         SSU_rRNA_eukarya     RF01960    cm      365      487        1      123      + 5'&3'    4 0.50   0.0  137.1   2.9e-38 !   [C28645; 123bp]
1582                 -         SSU_rRNA_eukarya     RF01960    cm     1238     1360      123        1      - 5'&3'    4 0.43   0.0  136.7   3.7e-38 !   [C28293; 123bp]
2835                 -         SSU_rRNA_eukarya     RF01960    cm     1147     1269      123        1      - 5'&3'    4 0.49   0.0  136.7   3.8e-38 !   [C32565; 123bp]
2863                 -         SSU_rRNA_eukarya     RF01960    cm     1193     1315      123        1      - 5'&3'    4 0.50   0.0  136.1   5.9e-38 !   [C31641; 123bp]
838                  -         SSU_rRNA_eukarya     RF01960    cm     1189     1311        1      123      + 5'&3'    4 0.50   0.0  135.9   6.7e-38 !   [C32049; 123bp]
3025                 -         SSU_rRNA_eukarya     RF01960    cm     1167     1289        1      123      + 5'&3'    4 0.51   0.0  134.7   1.6e-37 !   [C33691; 123bp]
1474                 -         SSU_rRNA_eukarya     RF01960    cm     1593     1715      123        1      - 5'&3'    4 0.47   0.0  134.6   1.6e-37 !   [C32123; 123bp]
1383                 -         SSU_rRNA_eukarya     RF01960    cm     1167     1289        1      123      + 5'&3'    4 0.52   0.0  134.2   2.2e-37 !   [C33689; 123bp]
3824                 -         SSU_rRNA_eukarya     RF01960    cm     1234     1356        1      123      + 5'&3'    4 0.45   0.0  133.6   3.4e-37 !   [C27765; 123bp]
5776                 -         SSU_rRNA_eukarya     RF01960    cm     1119     1227        1      109      + 5'&3'    4 0.55   0.0  133.5   3.5e-37 !   [C21795; 109bp]
1346                 -         SSU_rRNA_eukarya     RF01960    cm      334      456      123        1      - 5'&3'    4 0.54   0.0  133.4   3.8e-37 !   [C31645; 123bp]
1305                 -         SSU_rRNA_eukarya     RF01960    cm     1214     1336      123        1      - 5'&3'    4 0.46   0.0  133.1   4.8e-37 !   [C30871; 123bp]
2641                 -         SSU_rRNA_eukarya     RF01960    cm     1241     1363        1      123      + 5'&3'    4 0.44   0.0  132.9   5.3e-37 !   [C31649; 123bp]
2490                 -         SSU_rRNA_eukarya     RF01960    cm      510      632      123        1      - 5'&3'    4 0.44   0.0  132.9   5.6e-37 !   [C33413; 123bp]
2349                 -         SSU_rRNA_eukarya     RF01960    cm      509      631      123        1      - 5'&3'    4 0.41   0.0  132.7   6.2e-37 !   [C30043; 123bp]
3191                 -         SSU_rRNA_eukarya     RF01960    cm      519      641        1      123      + 5'&3'    4 0.42   0.0  132.6   6.9e-37 !   [C29553; 123bp]
1908                 -         SSU_rRNA_eukarya     RF01960    cm     1215     1337      123        1      - 5'&3'    4 0.48   0.0  132.5   7.1e-37 !   [C30073; 123bp]
2936                 -         SSU_rRNA_eukarya     RF01960    cm     1192     1314      123        1      - 5'&3'    4 0.48   0.0  132.3   8.4e-37 !   [C32963; 123bp]
1199                 -         SSU_rRNA_eukarya     RF01960    cm     1215     1337      123        1      - 5'&3'    4 0.47   0.0  132.2   8.9e-37 !   [C30071; 123bp]
3895                 -         SSU_rRNA_eukarya     RF01960    cm      521      643      123        1      - 5'&3'    4 0.43   0.0  132.0     1e-36 !   [C27717; 123bp]
696                  -         SSU_rRNA_eukarya     RF01960    cm      519      641        1      123      + 5'&3'    4 0.42   0.0  131.8   1.1e-36 !   [C29555; 123bp]
2634                 -         SSU_rRNA_eukarya     RF01960    cm      521      643      123        1      - 5'&3'    4 0.43   0.0  130.9   2.2e-36 !   [C27719; 123bp]
2692                 -         SSU_rRNA_eukarya     RF01960    cm     1587     1709        1      123      + 5'&3'    4 0.50   0.0  130.9   2.2e-36 !   [C32411; 123bp]
2508                 -         SSU_rRNA_eukarya     RF01960    cm      371      493        1      123      + 5'&3'    4 0.51   0.0  130.6   2.7e-36 !   [C31723; 123bp]
1559                 -         SSU_rRNA_eukarya     RF01960    cm      335      457        1      123      + 5'&3'    4 0.52   0.0  130.5   2.8e-36 !   [C28445; 123bp]
5309                 -         SSU_rRNA_eukarya     RF01960    cm      356      466        1      111      + 5'&3'    4 0.56   0.0  130.5   2.9e-36 !   [C23133; 111bp]
2036                 -         SSU_rRNA_eukarya     RF01960    cm      506      628      123        1      - 5'&3'    4 0.41   0.0  130.5     3e-36 !   [C31587; 123bp]
2441                 -         SSU_rRNA_eukarya     RF01960    cm     1584     1706        1      123      + 5'&3'    4 0.51   0.0  130.0   4.2e-36 !   [C29275; 123bp]
2474                 -         SSU_rRNA_eukarya     RF01960    cm      301      423      123        1      - 5'&3'    4 0.50   0.0  129.7   5.1e-36 !   [C33487; 123bp]
2678                 -         SSU_rRNA_eukarya     RF01960    cm      506      628      123        1      - 5'&3'    4 0.42   0.0  129.6   5.6e-36 !   [C31585; 123bp]
3380                 -         SSU_rRNA_eukarya     RF01960    cm      301      423      123        1      - 5'&3'    4 0.51   0.0  129.5   5.8e-36 !   [C33489; 123bp]
2386                 -         SSU_rRNA_eukarya     RF01960    cm      525      647      123        1      - 5'&3'    4 0.45   0.0  129.1   7.8e-36 !   [C32987; 123bp]
1131                 -         SSU_rRNA_eukarya     RF01960    cm     1586     1708      123        1      - 5'&3'    4 0.50   0.0  129.1     8e-36 !   [C33353; 123bp]
1708                 -         SSU_rRNA_eukarya     RF01960    cm      301      423      123        1      - 5'&3'    4 0.51   0.0  128.8   9.9e-36 !   [C29333; 123bp]
2839                 -         SSU_rRNA_eukarya     RF01960    cm     1084     1206      123        1      - 5'&3'    4 0.54   0.0  128.7     1e-35 !   [C27785; 123bp]
3678                 -         SSU_rRNA_eukarya     RF01960    cm      371      493        1      123      + 5'&3'    4 0.51   0.0  128.6   1.1e-35 !   [C30351; 123bp]
3638                 -         SSU_rRNA_eukarya     RF01960    cm     1085     1207        1      123      + 5'&3'    4 0.51   0.0  128.5   1.2e-35 !   [C29715; 123bp]
2793                 -         SSU_rRNA_eukarya     RF01960    cm      375      497      123        1      - 5'&3'    4 0.51   0.0  128.2   1.5e-35 !   [C31053; 123bp]
3701                 -         SSU_rRNA_eukarya     RF01960    cm      526      648      123        1      - 5'&3'    4 0.44   0.0  128.1   1.6e-35 !   [C27209; 123bp]
721                  -         SSU_rRNA_eukarya     RF01960    cm     1600     1722        1      123      + 5'&3'    4 0.48   0.0  128.0   1.6e-35 !   [C33109; 123bp]
1464                 -         SSU_rRNA_eukarya     RF01960    cm      372      494      123        1      - 5'&3'    4 0.51   0.0  126.9   3.7e-35 !   [C30031; 123bp]
1941                 -         SSU_rRNA_eukarya     RF01960    cm        1      120      120        1      -    3'    3 0.35   0.0  126.8   4.1e-35 !   [C32379; 123bp]
2599                 -         SSU_rRNA_eukarya     RF01960    cm     1250     1372      123        1      - 5'&3'    4 0.42   0.0  126.7   4.1e-35 !   [C29313; 123bp]
1076                 -         SSU_rRNA_eukarya     RF01960    cm      303      425        1      123      + 5'&3'    4 0.50   0.0  126.5   4.9e-35 !   [C28093; 123bp]
1911                 -         SSU_rRNA_eukarya     RF01960    cm      378      500      123        1      - 5'&3'    4 0.51   0.0  126.1   6.4e-35 !   [C33111; 123bp]
5461                 -         SSU_rRNA_eukarya     RF01960    cm      346      456      111        1      - 5'&3'    4 0.55   0.0  125.8   8.1e-35 !   [C23383; 111bp]
3036                 -         SSU_rRNA_eukarya     RF01960    cm     1077     1199      123        1      - 5'&3'    4 0.51   0.0  124.9   1.5e-34 !   [C32851; 123bp]
1037                 -         SSU_rRNA_eukarya     RF01960    cm      377      499        1      123      + 5'&3'    4 0.50   0.0  124.7   1.7e-34 !   [C27883; 123bp]
2458                 -         SSU_rRNA_eukarya     RF01960    cm     1582     1704      123        1      - 5'&3'    4 0.50   0.0  124.5   1.9e-34 !   [C29377; 123bp]
3907                 -         SSU_rRNA_eukarya     RF01960    cm      504      626        1      123      + 5'&3'    4 0.41   0.0  124.4   2.1e-34 !   [C31875; 123bp]
3890                 -         SSU_rRNA_eukarya     RF01960    cm      501      623      123        1      - 5'&3'    4 0.44   0.0  124.3   2.3e-34 !   [C33191; 123bp]
2290                 -         SSU_rRNA_eukarya     RF01960    cm        1      117      117        1      -    3'    3 0.38   0.0  124.0   2.8e-34 !   [C31537; 123bp]
1452                 -         SSU_rRNA_eukarya     RF01960    cm      379      501      123        1      - 5'&3'    4 0.53   0.0  123.3   4.5e-34 !   [C27635; 123bp]
3024                 -         SSU_rRNA_eukarya     RF01960    cm     1597     1719        1      123      + 5'&3'    4 0.46   0.0  123.3   4.6e-34 !   [C29567; 123bp]
1311                 -         SSU_rRNA_eukarya     RF01960    cm     1573     1695      123        1      - 5'&3'    4 0.49   0.0  123.3   4.7e-34 !   [C31767; 123bp]
3093                 -         SSU_rRNA_eukarya     RF01960    cm      380      502      123        1      - 5'&3'    4 0.54   0.0  123.2     5e-34 !   [C30283; 123bp]
3814                 -         SSU_rRNA_eukarya     RF01960    cm     1572     1694      123        1      - 5'&3'    4 0.48   0.0  123.0   5.6e-34 !   [C33233; 123bp]
3538                 -         SSU_rRNA_eukarya     RF01960    cm      396      518      123        1      - 5'&3'    4 0.49   0.0  123.0   5.6e-34 !   [C31351; 123bp]
3587                 -         SSU_rRNA_eukarya     RF01960    cm     1066     1188        1      123      + 5'&3'    4 0.49   0.0  122.9   6.1e-34 !   [C29657; 123bp]
3210                 -         SSU_rRNA_eukarya     RF01960    cm     1599     1721      123        1      - 5'&3'    4 0.47   0.0  122.8   6.3e-34 !   [C29277; 123bp]
1827                 -         SSU_rRNA_eukarya     RF01960    cm      294      416      123        1      - 5'&3'    4 0.49   0.0  122.7   7.1e-34 !   [C30271; 123bp]
1731                 -         SSU_rRNA_eukarya     RF01960    cm     1062     1184        1      123      + 5'&3'    4 0.50   0.0  122.4   8.4e-34 !   [C30463; 123bp]
3512                 -         SSU_rRNA_eukarya     RF01960    cm      398      520      123        1      - 5'&3'    4 0.47   0.0  122.4   8.4e-34 !   [C28483; 123bp]
3112                 -         SSU_rRNA_eukarya     RF01960    cm     1077     1199      123        1      - 5'&3'    4 0.51   0.0  122.3   8.9e-34 !   [C32849; 123bp]
2656                 -         SSU_rRNA_eukarya     RF01960    cm      479      605        1      123      + 5'&3'    4 0.47   0.0  122.1   1.1e-33 !   [C32615; 123bp]
3507                 -         SSU_rRNA_eukarya     RF01960    cm      388      510      123        1      - 5'&3'    4 0.51   0.0  122.0   1.1e-33 !   [C31363; 123bp]
2091                 -         SSU_rRNA_eukarya     RF01960    cm      391      513      123        1      - 5'&3'    4 0.49   0.0  121.8   1.3e-33 !   [C28545; 123bp]
868                  -         SSU_rRNA_eukarya     RF01960    cm      534      656      123        1      - 5'&3'    4 0.49   0.0  121.6   1.5e-33 !   [C30035; 123bp]
737                  -         SSU_rRNA_eukarya     RF01960    cm      397      519        1      123      + 5'&3'    4 0.49   0.0  121.5   1.6e-33 !   [C29667; 123bp]
1093                 -         SSU_rRNA_eukarya     RF01960    cm     1060     1182        1      123      + 5'&3'    4 0.50   0.0  121.5   1.6e-33 !   [C27485; 123bp]
1181                 -         SSU_rRNA_eukarya     RF01960    cm        1      111       13      123      +    3'    3 0.36   0.0  121.4   1.7e-33 !   [C28915; 123bp]
1152                 -         SSU_rRNA_eukarya     RF01960    cm      297      419        1      123      + 5'&3'    4 0.49   0.0  121.4   1.7e-33 !   [C32645; 123bp]
2132                 -         SSU_rRNA_eukarya     RF01960    cm     1063     1185        1      123      + 5'&3'    4 0.50   0.0  121.1   2.2e-33 !   [C32283; 123bp]
1848                 -         SSU_rRNA_eukarya     RF01960    cm     1062     1184        1      123      + 5'&3'    4 0.50   0.0  120.7   2.8e-33 !   [C30461; 123bp]
3715                 -         SSU_rRNA_eukarya     RF01960    cm        1      116        8      123      +    3'    3 0.38   0.0  120.6     3e-33 !   [C28875; 123bp]
1478                 -         SSU_rRNA_eukarya     RF01960    cm      541      663      123        1      - 5'&3'    4 0.51   0.0  120.4   3.4e-33 !   [C29529; 123bp]
3346                 -         SSU_rRNA_eukarya     RF01960    cm        1      114      114        1      -    3'    3 0.36   0.0  120.4   3.5e-33 !   [C31139; 123bp]
1663                 -         SSU_rRNA_eukarya     RF01960    cm      479      601      123        1      - 5'&3'    4 0.47   0.0  120.1   4.2e-33 !   [C31861; 123bp]
2452                 -         SSU_rRNA_eukarya     RF01960    cm      479      604        1      123      + 5'&3'    4 0.47   0.0  120.1   4.4e-33 !   [C30451; 123bp]
2448                 -         SSU_rRNA_eukarya     RF01960    cm        1      111       13      123      +    3'    3 0.36   0.0  120.0   4.8e-33 !   [C28913; 123bp]
754                  -         SSU_rRNA_eukarya     RF01960    cm      382      504      123        1      - 5'&3'    4 0.52   0.0  119.7   5.6e-33 !   [C32149; 123bp]
1921                 -         SSU_rRNA_eukarya     RF01960    cm     1067     1189      123        1      - 5'&3'    4 0.49   0.0  119.7   5.7e-33 !   [C28331; 123bp]
4132                 -         SSU_rRNA_eukarya     RF01960    cm      506      621      116        1      - 5'&3'    4 0.44   0.0  119.7   5.7e-33 !   [C26725; 116bp]
2671                 -         SSU_rRNA_eukarya     RF01960    cm     1041     1163      123        1      - 5'&3'    4 0.46   0.0  119.6     6e-33 !   [C27707; 123bp]
811                  -         SSU_rRNA_eukarya     RF01960    cm      394      516      123        1      - 5'&3'    4 0.50   0.0  119.5   6.6e-33 !   [C30975; 123bp]
3662                 -         SSU_rRNA_eukarya     RF01960    cm      499      621        1      123      + 5'&3'    4 0.46   0.0  119.5   6.7e-33 !   [C28311; 123bp]
1503                 -         SSU_rRNA_eukarya     RF01960    cm      533      655        1      123      + 5'&3'    4 0.46   0.0  119.3   7.7e-33 !   [C28467; 123bp]
2524                 -         SSU_rRNA_eukarya     RF01960    cm     1075     1197      123        1      - 5'&3'    4 0.51   0.0  119.3   7.8e-33 !   [C32691; 123bp]
1256                 -         SSU_rRNA_eukarya     RF01960    cm      473      595      123        1      - 5'&3'    4 0.46   0.0  119.1   8.6e-33 !   [C27301; 123bp]
1817                 -         SSU_rRNA_eukarya     RF01960    cm      474      596      123        1      - 5'&3'    4 0.45   0.0  119.0   9.1e-33 !   [C31211; 123bp]
